"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"39","高知県","39201","高知市","392010001000","みづき山","33.585313","133.519182","1","1"
"39","高知県","39201","高知市","392010002000","行川","33.587352","133.458575","1","1"
"39","高知県","39201","高知市","392010003000","針原","33.592685","133.462355","1","1"
"39","高知県","39201","高知市","392010004000","上里","33.594314","133.446869","1","1"
"39","高知県","39201","高知市","392010005000","領家","33.580923","133.438638","1","1"
"39","高知県","39201","高知市","392010006000","唐岩","33.578126","133.444175","1","1"
"39","高知県","39201","高知市","392010007000","鏡大河内","33.583400","133.475433","1","1"
"39","高知県","39201","高知市","392010008000","鏡小浜","33.601970","133.472431","1","1"
"39","高知県","39201","高知市","392010009000","鏡大利","33.606332","133.477021","1","1"
"39","高知県","39201","高知市","392010010000","鏡今井","33.606989","133.472588","1","1"
"39","高知県","39201","高知市","392010011000","鏡草峰","33.605670","133.465177","1","1"
"39","高知県","39201","高知市","392010012000","鏡白岩","33.617917","133.458088","1","1"
"39","高知県","39201","高知市","392010013000","鏡狩山","33.640533","133.446100","1","1"
"39","高知県","39201","高知市","392010014000","鏡吉原","33.644871","133.443800","1","1"
"39","高知県","39201","高知市","392010015000","鏡的渕","33.620282","133.430708","1","1"
"39","高知県","39201","高知市","392010016000","鏡去坂","33.600068","133.452641","1","1"
"39","高知県","39201","高知市","392010017000","鏡竹奈路","33.611910","133.442402","1","1"
"39","高知県","39201","高知市","392010018000","鏡敷ノ山","33.629656","133.427509","1","1"
"39","高知県","39201","高知市","392010019000","鏡柿ノ又","33.630528","133.420346","1","1"
"39","高知県","39201","高知市","392010020000","鏡横矢","33.607563","133.438519","1","1"
"39","高知県","39201","高知市","392010021000","鏡増原","33.597873","133.427555","1","1"
"39","高知県","39201","高知市","392010022000","鏡葛山","33.599501","133.432848","1","1"
"39","高知県","39201","高知市","392010023000","鏡梅ノ木","33.595774","133.423591","1","1"
"39","高知県","39201","高知市","392010024000","鏡小山","33.583392","133.429446","1","1"
"39","高知県","39201","高知市","392010025000","土佐山菖蒲","33.635632","133.564880","1","1"
"39","高知県","39201","高知市","392010026000","土佐山西川","33.635100","133.557471","1","1"
"39","高知県","39201","高知市","392010027000","土佐山梶谷","33.633394","133.547401","1","1"
"39","高知県","39201","高知市","392010028000","土佐山高川","33.637202","133.526330","1","1"
"39","高知県","39201","高知市","392010029000","土佐山桑尾","33.633002","133.527257","1","1"
"39","高知県","39201","高知市","392010030000","土佐山弘瀬","33.622687","133.498110","1","1"
"39","高知県","39201","高知市","392010031000","土佐山東川","33.631959","133.486802","1","1"
"39","高知県","39201","高知市","392010032000","土佐山中切","33.624853","133.486495","1","1"
"39","高知県","39201","高知市","392010033000","春野町弘岡上","33.499986","133.453441","1","1"
"39","高知県","39201","高知市","392010034000","春野町弘岡中","33.508124","133.465888","1","1"
"39","高知県","39201","高知市","392010035000","春野町弘岡下","33.502882","133.482404","1","1"
"39","高知県","39201","高知市","392010036000","春野町西分","33.497789","133.492446","1","1"
"39","高知県","39201","高知市","392010037000","春野町芳原","33.508766","133.509852","1","1"
"39","高知県","39201","高知市","392010038000","春野町内ノ谷","33.510165","133.521944","1","1"
"39","高知県","39201","高知市","392010039000","春野町西諸木","33.490376","133.508854","1","1"
"39","高知県","39201","高知市","392010040000","春野町東諸木","33.489128","133.519484","1","1"
"39","高知県","39201","高知市","392010041000","春野町秋山","33.490849","133.501331","1","1"
"39","高知県","39201","高知市","392010042000","春野町甲殿","33.476717","133.514498","1","1"
"39","高知県","39201","高知市","392010043000","春野町仁ノ","33.469811","133.486509","1","1"
"39","高知県","39201","高知市","392010044000","春野町西畑","33.478839","133.470419","1","1"
"39","高知県","39201","高知市","392010045000","春野町森山","33.491089","133.469720","1","1"
"39","高知県","39201","高知市","392010046000","春野町平和","33.499546","133.518348","1","1"
"39","高知県","39201","高知市","392010047001","春野町南ケ丘一丁目","33.515267","133.519462","1","3"
"39","高知県","39201","高知市","392010047002","春野町南ケ丘二丁目","33.515812","133.517376","1","3"
"39","高知県","39201","高知市","392010047003","春野町南ケ丘三丁目","33.515744","133.515688","1","3"
"39","高知県","39201","高知市","392010047004","春野町南ケ丘四丁目","33.517433","133.515774","1","3"
"39","高知県","39201","高知市","392010047005","春野町南ケ丘五丁目","33.517915","133.517109","1","3"
"39","高知県","39201","高知市","392010047006","春野町南ケ丘六丁目","33.517667","133.519811","1","3"
"39","高知県","39201","高知市","392010047007","春野町南ケ丘七丁目","33.518270","133.522272","1","3"
"39","高知県","39201","高知市","392010047008","春野町南ケ丘八丁目","33.519833","133.519057","1","3"
"39","高知県","39201","高知市","392010047009","春野町南ケ丘九丁目","33.520550","133.521397","1","3"
"39","高知県","39201","高知市","392010048001","上町一丁目","33.556765","133.526233","1","3"
"39","高知県","39201","高知市","392010048002","上町二丁目","33.556150","133.524232","1","3"
"39","高知県","39201","高知市","392010048003","上町三丁目","33.556757","133.521747","1","3"
"39","高知県","39201","高知市","392010048004","上町四丁目","33.556797","133.519561","1","3"
"39","高知県","39201","高知市","392010048005","上町五丁目","33.556704","133.517546","1","3"
"39","高知県","39201","高知市","392010049000","本丁筋","33.557159","133.516260","1","1"
"39","高知県","39201","高知市","392010050000","水通町","33.556563","133.516717","1","1"
"39","高知県","39201","高知市","392010051000","通町","33.555946","133.516775","1","1"
"39","高知県","39201","高知市","392010052000","唐人町","33.557023","133.542228","1","1"
"39","高知県","39201","高知市","392010053000","与力町","33.556940","133.538667","1","1"
"39","高知県","39201","高知市","392010054001","鷹匠町一丁目","33.556229","133.534693","1","3"
"39","高知県","39201","高知市","392010054002","鷹匠町二丁目","33.556077","133.531585","1","3"
"39","高知県","39201","高知市","392010055001","本町一丁目","33.559028","133.539232","1","3"
"39","高知県","39201","高知市","392010055002","本町二丁目","33.558684","133.537508","1","3"
"39","高知県","39201","高知市","392010055003","本町三丁目","33.557773","133.535674","1","3"
"39","高知県","39201","高知市","392010055004","本町四丁目","33.558167","133.532915","1","3"
"39","高知県","39201","高知市","392010055005","本町五丁目","33.557534","133.530757","1","3"
"39","高知県","39201","高知市","392010056000","升形","33.557170","133.528182","1","1"
